pair,pair_effect_mean,pair_effect_sd,referee,team,n_matches,yellows_total,yellows_mean,expected_nonpair,oe_ratio_raw,rate_ratio_shrunk,z,abs_rank,is_argentina,pair_effect_mean_2vc,abs_rank_2vc
Howard Webb | Netherlands,0.008439,0.038814,Howard Webb,Netherlands,1,9,9.0,3.348278,2.687949,1.008475,0.217428,1,False,0.001707,1
Antonio López Nieto | Germany,0.008227,0.03884,Antonio López Nieto,Germany,1,8,8.0,2.503701,3.195269,1.008261,0.211828,2,False,0.001544,3
Antonio Mateu Lahoz | Argentina,0.008199,0.038839,Antonio Mateu Lahoz,Argentina,1,8,8.0,2.524083,3.169468,1.008232,0.211093,3,True,0.001622,2
Valentin Ivanov | Portugal,0.007774,0.038799,Valentin Ivanov,Portugal,1,9,9.0,3.778565,2.381857,1.007805,0.200374,4,False,0.001508,5
Antonio López Nieto | Cameroon,0.007701,0.038828,Antonio López Nieto,Cameroon,1,8,8.0,2.842562,2.814363,1.007731,0.198331,5,False,0.001468,7
Antonio Mateu Lahoz | Netherlands,0.007504,0.038825,Antonio Mateu Lahoz,Netherlands,1,8,8.0,2.973593,2.690348,1.007532,0.193279,6,False,0.001512,4
Fernando Rapallini | Serbia,0.007467,0.038853,Fernando Rapallini,Serbia,1,7,7.0,2.017533,3.469584,1.007495,0.192198,7,False,0.001504,6
Jan Wegereef | Senegal,0.006464,0.038833,Jan Wegereef,Senegal,1,7,7.0,2.663989,2.627639,1.006485,0.166469,8,False,0.001231,8
Carlos Simon | Italy,0.006223,0.038797,Carlos Simon,Italy,2,8,4.0,3.817762,2.095469,1.006242,0.160386,9,False,0.00115,10
Ben Williams | Costa Rica,0.006037,0.038854,Ben Williams,Costa Rica,1,6,6.0,1.964727,3.05386,1.006055,0.155383,10,False,0.001152,9
Michael Oliver | Saudi Arabia,0.005941,0.038852,Michael Oliver,Saudi Arabia,1,6,6.0,2.029829,2.955913,1.005959,0.152912,11,False,0.001087,13
Ravshan Irmatov | Morocco,0.00586,0.03885,Ravshan Irmatov,Morocco,1,6,6.0,2.088587,2.872756,1.005878,0.15085,12,False,0.0011,12
Khalil Al Ghamdi | Chile,0.005657,0.038846,Khalil Al Ghamdi,Chile,1,6,6.0,2.213126,2.711097,1.005673,0.145614,13,False,0.001127,11
Slavko Vinčić | Saudi Arabia,0.005603,0.038844,Slavko Vinčić,Saudi Arabia,1,6,6.0,2.244132,2.673639,1.005618,0.144233,14,False,0.001019,17
Mark Geiger | Colombia,0.005482,0.038812,Mark Geiger,Colombia,2,7,3.5,3.307439,2.116441,1.005497,0.141249,15,False,0.001059,14
Daniel Siebert | Uruguay,0.005384,0.038869,Daniel Siebert,Uruguay,1,5,5.0,1.410334,3.545259,1.005399,0.13852,16,False,0.001043,16
Ľuboš Micheľ | Paraguay,0.005137,0.038745,Ľuboš Micheľ,Paraguay,2,9,4.5,5.506212,1.634518,1.00515,0.132575,17,False,0.000944,20
Neji Jouini | Bulgaria,0.004992,0.038832,Neji Jouini,Bulgaria,1,6,6.0,2.645215,2.268247,1.005005,0.128564,18,False,0.000991,18
Roberto Rosetti | Argentina,-0.004953,0.038778,Roberto Rosetti,Argentina,2,1,0.5,4.238185,0.23595,0.99506,-0.127716,19,True,-0.00083,33
Alberto Undiano Mallenco | Germany,0.004885,0.038859,Alberto Undiano Mallenco,Germany,1,5,5.0,1.739177,2.874924,1.004896,0.125698,20,False,0.000917,23
Valentin Ivanov | Netherlands,0.004884,0.0388,Valentin Ivanov,Netherlands,1,7,7.0,3.702496,1.890616,1.004896,0.125883,21,False,0.001048,15
Jamal Al Sharif | Austria,0.004857,0.038859,Jamal Al Sharif,Austria,1,5,5.0,1.757553,2.844864,1.004869,0.124991,22,False,0.000943,21
Janny Sikazwe | Belgium,0.004815,0.038828,Janny Sikazwe,Belgium,2,6,3.0,2.759992,2.173919,1.004827,0.12401,23,False,0.000856,26
Carlos Simon | Ghana,-0.004732,0.038723,Carlos Simon,Ghana,2,3,1.5,6.073958,0.493912,0.995279,-0.122207,24,False,-0.000834,31
Mark Shield | Tunisia,0.004525,0.038762,Mark Shield,Tunisia,2,8,4.0,4.908936,1.629681,1.004535,0.116727,25,False,0.000933,22
Byron Moreno | Italy,0.004518,0.038852,Byron Moreno,Italy,1,5,5.0,1.972924,2.534309,1.004528,0.116293,26,False,0.000838,28
Michel Vautrot | Argentina,0.00451,0.038792,Michel Vautrot,Argentina,2,7,3.5,3.948127,1.772993,1.00452,0.116262,27,True,0.000966,19
Renato Marsiglia | Netherlands,0.004246,0.038846,Renato Marsiglia,Netherlands,1,5,5.0,2.151718,2.323725,1.004255,0.1093,28,False,0.000895,24
José Torres Cadena | Germany,0.004244,0.038846,José Torres Cadena,Germany,1,5,5.0,2.154915,2.320278,1.004253,0.109246,29,False,0.000815,35
Benito Archundia | Italy,-0.004228,0.038732,Benito Archundia,Italy,3,3,1.0,5.745311,0.522165,0.995781,-0.109147,30,False,-0.000884,25
Arturo Brizio Carter | Italy,0.004219,0.038846,Arturo Brizio Carter,Italy,1,5,5.0,2.172832,2.301144,1.004228,0.108614,31,False,0.000778,40
Sandro Ricci | Croatia,0.004156,0.038815,Sandro Ricci,Croatia,2,6,3.0,3.193001,1.87911,1.004164,0.107063,32,False,0.000819,34
Helmut Kohl | Czechoslovakia,0.004123,0.038844,Helmut Kohl,Czechoslovakia,1,5,5.0,2.230203,2.241949,1.004131,0.106138,33,False,0.000832,32
Néstor Pitana | Croatia,-0.004115,0.038795,Néstor Pitana,Croatia,2,1,0.5,3.680605,0.271694,0.995893,-0.106077,34,False,-0.000768,44
Alireza Faghani | Brazil,-0.004111,0.038825,Alireza Faghani,Brazil,2,0,0.0,2.687129,0.0,0.995898,-0.105876,35,False,-0.000834,30
Mark Shield | Saudi Arabia,-0.004098,0.038825,Mark Shield,Saudi Arabia,1,0,0.0,2.674663,0.0,0.995911,-0.105546,36,False,-0.000839,27
Mourad Daami | Ecuador,0.004095,0.038843,Mourad Daami,Ecuador,1,5,5.0,2.245188,2.226985,1.004103,0.105411,37,False,0.000772,43
Carlos Simon | Germany,-0.004047,0.038767,Carlos Simon,Germany,2,2,1.0,4.634579,0.431539,0.995962,-0.104382,38,False,-0.000789,39
Alireza Faghani | Argentina,0.00404,0.038843,Alireza Faghani,Argentina,1,5,5.0,2.288616,2.184727,1.004049,0.104018,39,True,0.000835,29
Janny Sikazwe | Panama,0.004009,0.038841,Janny Sikazwe,Panama,1,5,5.0,2.300493,2.173448,1.004017,0.103203,40,False,0.000799,37
Jan Wegereef | Uruguay,0.00396,0.038841,Jan Wegereef,Uruguay,1,5,5.0,2.333802,2.142427,1.003968,0.101959,41,False,0.000772,42
Horacio Elizondo | Ghana,0.003953,0.03881,Horacio Elizondo,Ghana,1,6,6.0,3.32907,1.802305,1.003961,0.101848,42,False,0.000802,36
Carlos Simon | Tunisia,0.003939,0.03881,Carlos Simon,Tunisia,1,6,6.0,3.34111,1.79581,1.003947,0.101504,43,False,0.000796,38
Joel Aguilar | Greece,0.003925,0.038869,Joel Aguilar,Greece,1,4,4.0,1.377238,2.904363,1.003932,0.100969,44,False,0.000759,45
Benito Archundia | Ukraine,-0.003905,0.038829,Benito Archundia,Ukraine,1,0,0.0,2.552497,0.0,0.996103,-0.100562,45,False,-0.000737,49
Frank De Bleeckere | Italy,-0.003853,0.03883,Frank De Bleeckere,Italy,1,0,0.0,2.522808,0.0,0.996154,-0.099228,46,False,-0.000773,41
Horacio Elizondo | Switzerland,0.003762,0.038836,Horacio Elizondo,Switzerland,1,5,5.0,2.473056,2.02179,1.003769,0.096874,47,False,0.000752,46
Alberto Tejada Noriega | Morocco,0.003742,0.038836,Alberto Tejada Noriega,Morocco,1,5,5.0,2.476648,2.018857,1.003749,0.096366,48,False,0.000697,54
Vítor Melo Pereira | United States,0.003694,0.038835,Vítor Melo Pereira,United States,1,5,5.0,2.512837,1.989783,1.003701,0.095131,49,False,0.000678,67
Hugh Dallas | United States,0.003693,0.038835,Hugh Dallas,United States,1,5,5.0,2.513311,1.989407,1.0037,0.095096,50,False,0.000686,60
Urs Meier | South Korea,-0.003653,0.038774,Urs Meier,South Korea,2,2,1.0,4.363115,0.458388,0.996354,-0.09421,51,False,-0.000643,80
Kim Milton Nielsen | Germany,-0.003644,0.038804,Kim Milton Nielsen,Germany,2,1,0.5,3.371655,0.29659,0.996363,-0.093896,52,False,-0.000696,55
Enrique Cáceres | Portugal,0.003641,0.038863,Enrique Cáceres,Portugal,1,4,4.0,1.562255,2.560402,1.003648,0.09369,53,False,0.000718,50
Fernando Rapallini | Morocco,-0.003635,0.038775,Fernando Rapallini,Morocco,2,2,1.0,4.341079,0.460715,0.996372,-0.093735,54,False,-0.000752,47
Valentin Ivanov | Ecuador,-0.003597,0.038806,Valentin Ivanov,Ecuador,1,1,1.0,3.338525,0.299534,0.99641,-0.092691,55,False,-0.000739,48
Antonio Mateu Lahoz | Australia,-0.003589,0.038836,Antonio Mateu Lahoz,Australia,1,0,0.0,2.344411,0.0,0.996418,-0.092402,56,False,-0.000702,53
Ali Bujsaim | Paraguay,0.003584,0.038833,Ali Bujsaim,Paraguay,1,5,5.0,2.58556,1.933817,1.00359,0.092291,57,False,0.000673,70
Abdulrahman Al-Jassim | United States,0.003582,0.038862,Abdulrahman Al-Jassim,United States,1,4,4.0,1.601059,2.498347,1.003589,0.092184,58,False,0.000665,73
Felipe Ramos | Brazil,-0.003582,0.038836,Felipe Ramos,Brazil,1,0,0.0,2.338185,0.0,0.996424,-0.092237,59,False,-0.000716,52
Sandro Ricci | Honduras,0.003576,0.038862,Sandro Ricci,Honduras,1,4,4.0,1.605012,2.492194,1.003582,0.092016,60,False,0.000693,56
José María García-Aranda | Netherlands,-0.003555,0.038836,José María García-Aranda,Netherlands,1,0,0.0,2.318788,0.0,0.996452,-0.09153,61,False,-0.000596,99
Shamsul Maidin | Poland,0.003537,0.038832,Shamsul Maidin,Poland,1,5,5.0,2.61483,1.91217,1.003543,0.091081,62,False,0.000693,57
Viktor Kassai | North Korea,-0.003525,0.038836,Viktor Kassai,North Korea,1,0,0.0,2.292994,0.0,0.996482,-0.090756,63,False,-0.000717,51
Alberto Tejada Noriega | Iran,-0.003514,0.038837,Alberto Tejada Noriega,Iran,1,0,0.0,2.290284,0.0,0.996492,-0.090478,64,False,-0.000682,63
Horacio Elizondo | South Korea,0.003499,0.038831,Horacio Elizondo,South Korea,1,5,5.0,2.646103,1.889571,1.003505,0.090114,65,False,0.000692,58
Jorge Larrionda | Portugal,-0.003497,0.038718,Jorge Larrionda,Portugal,3,4,1.333333,6.250122,0.639988,0.996509,-0.090314,66,False,-0.000578,106
Neji Jouini | Switzerland,-0.003488,0.038838,Neji Jouini,Switzerland,1,0,0.0,2.275825,0.0,0.996518,-0.089799,67,False,-0.000654,79
Ismail Elfath | Cameroon,0.003484,0.038831,Ismail Elfath,Cameroon,1,5,5.0,2.64204,1.892477,1.00349,0.089724,68,False,0.000656,76
Raphael Claus | Canada,0.003477,0.03886,Raphael Claus,Canada,1,4,4.0,1.665571,2.401579,1.003483,0.089479,69,False,0.000682,62
Óscar Ruiz | South Africa,-0.003451,0.038838,Óscar Ruiz,South Africa,1,0,0.0,2.253135,0.0,0.996555,-0.088857,70,False,-0.00068,64
Ali Bujsaim | France,-0.00338,0.03881,Ali Bujsaim,France,2,1,0.5,3.199755,0.312524,0.996626,-0.087095,71,False,-0.000683,61
Mario van der Ende | Spain,0.003366,0.038798,Mario van der Ende,Spain,2,6,3.0,3.709318,1.617548,1.003372,0.086766,72,False,0.000549,132
César Arturo Ramos | Portugal,-0.003356,0.03881,César Arturo Ramos,Portugal,2,1,0.5,3.178589,0.314605,0.996649,-0.086478,73,False,-0.00059,101
Frank De Bleeckere | Japan,0.003341,0.038768,Frank De Bleeckere,Japan,2,7,3.5,4.716193,1.484248,1.003346,0.086177,74,False,0.000555,126
Milorad Mažić | South Korea,0.003337,0.038857,Milorad Mažić,South Korea,1,4,4.0,1.763269,2.268514,1.003343,0.085879,75,False,0.000655,78
Marco Rodríguez | Serbia and Montenegro,0.003332,0.038827,Marco Rodríguez,Serbia and Montenegro,1,5,5.0,2.749065,1.8188,1.003337,0.085813,76,False,0.00068,65
Anders Frisk | Republic of Ireland,-0.003329,0.038841,Anders Frisk,Republic of Ireland,1,0,0.0,2.166362,0.0,0.996677,-0.085708,77,False,-0.000669,71
Horacio Elizondo | Germany,-0.003311,0.038841,Horacio Elizondo,Germany,1,0,0.0,2.167087,0.0,0.996695,-0.085234,78,False,-0.000638,82
Héctor Baldassi | Japan,-0.003311,0.038841,Héctor Baldassi,Japan,1,0,0.0,2.159787,0.0,0.996695,-0.085235,79,False,-0.000692,59
Wilton Sampaio | United States,-0.003298,0.038842,Wilton Sampaio,United States,1,0,0.0,2.149816,0.0,0.996708,-0.084901,80,False,-0.000661,74
Ismail Elfath | Japan,-0.003288,0.038842,Ismail Elfath,Japan,1,0,0.0,2.142411,0.0,0.996718,-0.084644,81,False,-0.00068,66
Peter Mikkelsen | Republic of Ireland,-0.003287,0.038841,Peter Mikkelsen,Republic of Ireland,1,0,0.0,2.141912,0.0,0.996719,-0.084618,82,False,-0.000665,72
Rodrigo Badilla | Bolivia,-0.003281,0.038841,Rodrigo Badilla,Bolivia,1,0,0.0,2.136039,0.0,0.996725,-0.084465,83,False,-0.000613,85
Fernando Rapallini | Switzerland,0.003271,0.038856,Fernando Rapallini,Switzerland,1,4,4.0,1.804419,2.21678,1.003276,0.084172,84,False,0.000638,81
Alberto Undiano Mallenco | North Korea,-0.003253,0.038842,Alberto Undiano Mallenco,North Korea,1,0,0.0,2.116354,0.0,0.996753,-0.083737,85,False,-0.000676,69
Gamal Al-Ghandour | Costa Rica,-0.003246,0.038843,Gamal Al-Ghandour,Costa Rica,1,0,0.0,2.121587,0.0,0.996759,-0.083576,86,False,-0.000605,92
Anders Frisk | China,-0.003227,0.038843,Anders Frisk,China,1,0,0.0,2.099929,0.0,0.996778,-0.083091,87,False,-0.000611,87
Lu Jun | Mexico,-0.003212,0.038843,Lu Jun,Mexico,1,0,0.0,2.094643,0.0,0.996793,-0.082689,88,False,-0.000567,115
Viktor Kassai | Germany,-0.003168,0.038844,Viktor Kassai,Germany,1,0,0.0,2.065665,0.0,0.996837,-0.081566,89,False,-0.000612,86
Héctor Baldassi | Serbia,0.003167,0.038854,Héctor Baldassi,Serbia,1,4,4.0,1.871243,2.137616,1.003172,0.081522,90,False,0.000677,68
László Vágner | Chile,0.003152,0.038854,László Vágner,Chile,1,4,4.0,1.878163,2.129741,1.003157,0.081116,91,False,0.000655,77
Gamal Al-Ghandour | Chile,0.003142,0.038853,Gamal Al-Ghandour,Chile,1,4,4.0,1.890556,2.11578,1.003147,0.080874,92,False,0.000658,75
Facundo Tello | Portugal,-0.003139,0.038815,Facundo Tello,Portugal,2,1,0.5,3.031365,0.329884,0.996866,-0.080871,93,False,-0.000563,122
Marco Rodríguez | Paraguay,-0.003121,0.038815,Marco Rodríguez,Paraguay,1,1,1.0,3.029528,0.330084,0.996884,-0.080415,94,False,-0.000608,90
Howard Webb | Italy,0.003107,0.038853,Howard Webb,Italy,1,4,4.0,1.916199,2.087466,1.003112,0.079978,95,False,0.000543,135
Wolfgang Stark | Uruguay,-0.003104,0.038845,Wolfgang Stark,Uruguay,1,0,0.0,2.022514,0.0,0.996901,-0.079899,96,False,-0.000572,111
Mario Sánchez Yanten | Nigeria,0.003094,0.038852,Mario Sánchez Yanten,Nigeria,1,4,4.0,1.917452,2.086102,1.003099,0.079634,97,False,0.000538,140
Héctor Baldassi | Honduras,0.00309,0.038852,Héctor Baldassi,Honduras,1,4,4.0,1.921175,2.082059,1.003094,0.079524,98,False,0.000602,96
Graham Poll | Croatia,0.003072,0.038762,Graham Poll,Croatia,2,7,3.5,4.887836,1.432127,1.003077,0.079256,99,False,0.000603,94
Benito Archundia | Portugal,0.003033,0.03885,Benito Archundia,Portugal,1,4,4.0,1.964024,2.036635,1.003038,0.078075,100,False,0.000602,95
Kim Milton Nielsen | Russia,0.003027,0.03885,Kim Milton Nielsen,Russia,1,4,4.0,1.964506,2.036136,1.003032,0.077927,101,False,0.000616,84
Shamsul Maidin | Costa Rica,0.003026,0.038821,Shamsul Maidin,Costa Rica,1,5,5.0,2.949387,1.695267,1.00303,0.077938,102,False,0.000579,104
Jorge Larrionda | France,-0.003003,0.038787,Jorge Larrionda,France,2,2,1.0,3.943999,0.5071,0.997001,-0.077428,103,False,-0.000606,91
Bakary Gassama | Qatar,-0.002999,0.038847,Bakary Gassama,Qatar,1,0,0.0,1.949848,0.0,0.997005,-0.077205,104,False,-0.000578,107
Howard Webb | Brazil,0.002997,0.038792,Howard Webb,Brazil,2,6,3.0,3.95169,1.518338,1.003001,0.077252,105,False,0.000483,187
Wilmar Roldán | Tunisia,-0.002993,0.038848,Wilmar Roldán,Tunisia,1,0,0.0,1.949294,0.0,0.997012,-0.07704,106,False,-0.000545,134
Erik Fredriksson | Argentina,0.002992,0.038851,Erik Fredriksson,Argentina,1,4,4.0,1.987812,2.012262,1.002997,0.077018,107,True,0.000623,83
Carlos Batres | Denmark,0.002991,0.03885,Carlos Batres,Denmark,1,4,4.0,1.989215,2.010843,1.002996,0.076996,108,False,0.000596,100
Sándor Puhl | Italy,-0.002978,0.038788,Sándor Puhl,Italy,2,2,1.0,3.916243,0.510694,0.997026,-0.076781,109,False,-0.000603,93
Ravshan Irmatov | Costa Rica,0.002976,0.03885,Ravshan Irmatov,Costa Rica,1,4,4.0,2.000052,1.999948,1.00298,0.076596,110,False,0.000563,120
Tullio Lanese | South Korea,0.002973,0.03885,Tullio Lanese,South Korea,1,4,4.0,2.003398,1.996608,1.002977,0.076517,111,False,0.000576,109
Daniele Orsato | Qatar,0.00297,0.03885,Daniele Orsato,Qatar,1,4,4.0,1.996508,2.003498,1.002974,0.076439,112,False,0.00056,123
Jamal Al Sharif | Mexico,0.002958,0.038821,Jamal Al Sharif,Mexico,1,5,5.0,2.992971,1.670581,1.002962,0.076187,113,False,0.00061,88
Sergei Karasev | Australia,0.002953,0.03885,Sergei Karasev,Australia,1,4,4.0,2.006223,1.993797,1.002957,0.076013,114,False,0.000567,117
Brian Hall | Nigeria,-0.002943,0.038848,Brian Hall,Nigeria,1,0,0.0,1.916561,0.0,0.997062,-0.075746,115,False,-0.000599,97
Vítor Melo Pereira | Germany,0.002942,0.038849,Vítor Melo Pereira,Germany,1,4,4.0,2.020016,1.980182,1.002947,0.075734,116,False,0.000552,130
Mario van der Ende | Argentina,-0.00294,0.038849,Mario van der Ende,Argentina,1,0,0.0,1.921835,0.0,0.997064,-0.075674,117,True,-0.000505,167
George Courtney | Uruguay,0.002925,0.038849,George Courtney,Uruguay,1,4,4.0,2.029544,1.970886,1.002929,0.075297,118,False,0.000583,102
Yuichi Nishimura | Uruguay,0.002919,0.038849,Yuichi Nishimura,Uruguay,1,4,4.0,2.036581,1.964076,1.002923,0.075134,119,False,0.000572,112
Marc Batta | Romania,0.002894,0.038848,Marc Batta,Romania,1,4,4.0,2.046644,1.954419,1.002898,0.074499,120,False,0.00057,113
Ubaldo Aquino | Sweden,-0.002893,0.03885,Ubaldo Aquino,Sweden,1,0,0.0,1.882987,0.0,0.997112,-0.074458,121,False,-0.000559,124
Lu Jun | Poland,0.002889,0.038848,Lu Jun,Poland,1,4,4.0,2.050259,1.950973,1.002893,0.074361,122,False,0.000576,108
Abdul Rahman Al-Zaid | Bulgaria,0.002889,0.038848,Abdul Rahman Al-Zaid,Bulgaria,1,4,4.0,2.050416,1.950824,1.002893,0.074358,123,False,0.00058,103
Jamal Al Sharif | United States,0.002884,0.038848,Jamal Al Sharif,United States,1,4,4.0,2.06247,1.939422,1.002888,0.07424,124,False,0.000507,164
Eddy Maillet | Slovakia,0.002852,0.038847,Eddy Maillet,Slovakia,1,4,4.0,2.071914,1.930582,1.002856,0.073414,125,False,0.000551,131
Renato Marsiglia | Saudi Arabia,-0.002851,0.038821,Renato Marsiglia,Saudi Arabia,1,1,1.0,2.840103,0.3521,0.997153,-0.073439,126,False,-0.000598,98
Clément Turpin | South Korea,-0.002845,0.03879,Clément Turpin,South Korea,2,2,1.0,3.828468,0.522402,0.997159,-0.073344,127,False,-0.000519,155
Szymon Marciniak | Iceland,-0.002826,0.038851,Szymon Marciniak,Iceland,1,0,0.0,1.840728,0.0,0.997178,-0.072745,128,False,-0.000555,127
Mario van der Ende | Italy,-0.002823,0.038851,Mario van der Ende,Italy,1,0,0.0,1.843539,0.0,0.997181,-0.072657,129,False,-0.000566,118
Lu Jun | Croatia,-0.002822,0.038851,Lu Jun,Croatia,1,0,0.0,1.839435,0.0,0.997182,-0.072641,130,False,-0.000528,148
Márcio Rezende de Freitas | South Korea,0.00282,0.038847,Márcio Rezende de Freitas,South Korea,1,4,4.0,2.097421,1.907104,1.002824,0.072589,131,False,0.000553,128
Joël Quiniou | United States,0.002817,0.038817,Joël Quiniou,United States,1,5,5.0,3.085685,1.620386,1.002821,0.072561,132,False,0.000499,174
Horacio Elizondo | Costa Rica,-0.002808,0.038821,Horacio Elizondo,Costa Rica,1,1,1.0,2.825011,0.353981,0.997196,-0.072323,133,False,-0.000527,149
Kim Milton Nielsen | Yugoslavia,-0.002808,0.038851,Kim Milton Nielsen,Yugoslavia,1,0,0.0,1.829536,0.0,0.997196,-0.072265,134,False,-0.000521,154
Said Belqola | Croatia,0.0028,0.038846,Said Belqola,Croatia,1,4,4.0,2.112463,1.893524,1.002804,0.072075,135,False,0.000535,141
Lim Kee Chong | Brazil,-0.002771,0.038852,Lim Kee Chong,Brazil,1,0,0.0,1.806159,0.0,0.997233,-0.07132,136,False,-0.000555,125
Felix Brych | Serbia,0.002771,0.038846,Felix Brych,Serbia,1,4,4.0,2.126312,1.881192,1.002775,0.071331,137,False,0.000609,89
Joël Quiniou | South Korea,-0.002764,0.038823,Joël Quiniou,South Korea,1,1,1.0,2.795461,0.357723,0.99724,-0.071183,138,False,-0.000517,157
Kyros Vassaras | Costa Rica,0.00276,0.038846,Kyros Vassaras,Costa Rica,1,4,4.0,2.132887,1.875393,1.002764,0.071046,139,False,0.000539,138
Jamal Al Sharif | Romania,-0.002752,0.038823,Jamal Al Sharif,Romania,1,1,1.0,2.782855,0.359343,0.997252,-0.070876,140,False,-0.000529,147
Massimo Busacca | Spain,-0.002742,0.038852,Massimo Busacca,Spain,1,0,0.0,1.790716,0.0,0.997262,-0.070568,141,False,-0.000567,116
César Arturo Ramos | Uruguay,-0.002734,0.038853,César Arturo Ramos,Uruguay,1,0,0.0,1.783149,0.0,0.99727,-0.07037,142,False,-0.000495,175
José María García-Aranda | France,-0.002729,0.038853,José María García-Aranda,France,1,0,0.0,1.778349,0.0,0.997275,-0.070241,143,False,-0.000541,136
Michael Hester | South Korea,-0.002721,0.038853,Michael Hester,South Korea,1,0,0.0,1.7715,0.0,0.997282,-0.070039,144,False,-0.00051,162
Philip Don | Saudi Arabia,0.002715,0.038844,Philip Don,Saudi Arabia,1,4,4.0,2.162555,1.849664,1.002719,0.069906,145,False,0.000482,189
Ryszard Wójcik | Netherlands,-0.002708,0.038854,Ryszard Wójcik,Netherlands,1,0,0.0,1.763105,0.0,0.997296,-0.069693,146,False,-0.000455,224
Horacio Elizondo | Italy,-0.002707,0.038823,Horacio Elizondo,Italy,1,1,1.0,2.757586,0.362636,0.997297,-0.069715,147,False,-0.000563,121
Abdulrahman Al-Jassim | Croatia,-0.002703,0.038854,Abdulrahman Al-Jassim,Croatia,1,0,0.0,1.75895,0.0,0.997301,-0.069566,148,False,-0.000512,158
Felipe Ramos | Slovenia,0.002702,0.038844,Felipe Ramos,Slovenia,1,4,4.0,2.172155,1.841489,1.002706,0.069566,149,False,0.000568,114
Daniel Siebert | Australia,-0.002702,0.038854,Daniel Siebert,Australia,1,0,0.0,1.758196,0.0,0.997302,-0.069536,150,False,-0.000522,152
Kurt Röthlisberger | Argentina,0.002683,0.038844,Kurt Röthlisberger,Argentina,1,4,4.0,2.194814,1.822478,1.002686,0.069067,151,True,0.000578,105
Pierluigi Collina | Netherlands,-0.002682,0.038854,Pierluigi Collina,Netherlands,1,0,0.0,1.75154,0.0,0.997322,-0.069016,152,False,-0.000445,232
Éric Poulat | Japan,-0.002674,0.038824,Éric Poulat,Japan,1,1,1.0,2.729415,0.366379,0.99733,-0.068866,153,False,-0.000564,119
Leslie Mottram | Bolivia,0.002659,0.038844,Leslie Mottram,Bolivia,1,4,4.0,2.196667,1.820941,1.002662,0.068443,154,False,0.000518,156
Alberto Undiano Mallenco | Ivory Coast,-0.00265,0.038855,Alberto Undiano Mallenco,Ivory Coast,1,0,0.0,1.724542,0.0,0.997353,-0.068213,155,False,-0.000505,168
Gamal Al-Ghandour | South Korea,-0.002633,0.038825,Gamal Al-Ghandour,South Korea,1,1,1.0,2.70768,0.36932,0.99737,-0.067821,156,False,-0.000478,192
Koman Coulibaly | Slovenia,0.002628,0.038843,Koman Coulibaly,Slovenia,1,4,4.0,2.215309,1.805617,1.002632,0.06767,157,False,0.000534,143
Ravshan Irmatov | Algeria,-0.002611,0.038826,Ravshan Irmatov,Algeria,1,1,1.0,2.691837,0.371494,0.997393,-0.067237,158,False,-0.000532,145
Ángel Sánchez | Slovenia,0.002606,0.038843,Ángel Sánchez,Slovenia,1,4,4.0,2.232479,1.79173,1.002609,0.067087,159,False,0.000538,139
Felix Brych | Uruguay,0.002603,0.038872,Felix Brych,Uruguay,1,3,3.0,1.255436,2.389608,1.002607,0.06697,160,False,0.000507,165
Mark Geiger | South Korea,0.002597,0.038842,Mark Geiger,South Korea,1,4,4.0,2.244818,1.781881,1.002601,0.066867,161,False,0.000512,160
Kim Milton Nielsen | Republic of Ireland,-0.002594,0.038855,Kim Milton Nielsen,Republic of Ireland,1,0,0.0,1.691954,0.0,0.997409,-0.066759,162,False,-0.000523,151
Clément Turpin | Saudi Arabia,-0.002592,0.038855,Clément Turpin,Saudi Arabia,1,0,0.0,1.688918,0.0,0.997411,-0.066713,163,False,-0.000521,153
Janny Sikazwe | Poland,-0.002579,0.038857,Janny Sikazwe,Poland,1,0,0.0,1.678915,0.0,0.997424,-0.066374,164,False,-0.000478,191
Shizuo Takada | Yugoslavia,0.002577,0.038872,Shizuo Takada,Yugoslavia,1,3,3.0,1.270299,2.361648,1.002581,0.066303,165,False,0.000505,169
Nicola Rizzoli | Argentina,-0.002572,0.038767,Nicola Rizzoli,Argentina,3,3,1.0,4.633631,0.64744,0.997431,-0.06635,166,True,-0.00037,324
Ali Bujsaim | Greece,0.002572,0.038842,Ali Bujsaim,Greece,1,4,4.0,2.262379,1.768051,1.002575,0.066208,167,False,0.000507,166
Toru Kamikawa | Trinidad and Tobago,0.00257,0.038812,Toru Kamikawa,Trinidad and Tobago,1,5,5.0,3.24066,1.542896,1.002573,0.066208,168,False,0.000499,172
Mark Geiger | Nigeria,-0.002565,0.038856,Mark Geiger,Nigeria,1,0,0.0,1.671319,0.0,0.997438,-0.06602,169,False,-0.00054,137
Pirom Un-Prasert | Paraguay,-0.002563,0.038856,Pirom Un-Prasert,Paraguay,1,0,0.0,1.668187,0.0,0.99744,-0.065973,170,False,-0.000484,184
Anthony Taylor | Croatia,-0.00256,0.038856,Anthony Taylor,Croatia,1,0,0.0,1.666521,0.0,0.997443,-0.065889,171,False,-0.000488,179
Epifanio González | Croatia,0.002558,0.038841,Epifanio González,Croatia,1,4,4.0,2.267106,1.764364,1.002562,0.06587,172,False,0.000491,177
Frank De Bleeckere | Algeria,0.002553,0.038841,Frank De Bleeckere,Algeria,1,4,4.0,2.273347,1.75952,1.002557,0.065739,173,False,0.000481,190
